event,carrier_mmsi,neighbor_mmsi,event_start,event_end,mean_latitude,mean_longitude,median_distance_km,median_speed_knots,event_duration_hr
71950ec874f5ee5b64957520f057641b,273354920,273422540,2019-04-17T11:50:00Z,2019-04-17T15:40:00Z,52.69652973,155.8408111,0.045,0.011,3.833333333
9e08af021eda4fe8ffaf231117907137,273354920,273427690,2019-06-26T12:30:00Z,2019-06-27T09:40:00Z,62.49443326,178.0168645,0.049,0.008,21.16666667
4c16b5840b605d4d19f4fd5643d9661e,273354920,273427690,2019-11-08T09:10:00Z,2019-11-08T15:40:00Z,64.34804946,-173.3772191,0.045,0.015,6.5
5951e423973f5797b0574c8561aba9bb,273354920,273427690,2018-12-04T20:50:00Z,2018-12-05T08:40:00Z,61.18949923,172.4029709,0.041,0.064,11.83333333
d8b2f1b25da4d9503dc30122c7fe7253,273354920,273427690,2018-12-27T01:50:00Z,2018-12-27T15:00:00Z,61.64308461,176.5396305,0.036,0.607,13.16666667
b3033f197cbb9e2388578419434bffca,273354920,273435700,2019-10-07T18:30:00Z,2019-10-08T05:40:00Z,62.89736192,179.3807306,0.036,0.041,11.16666667
bf585ad02a02f34906d22139e58c94c7,273354920,273435700,2018-12-05T11:30:00Z,2018-12-06T00:00:00Z,61.18914893,172.4025125,0.045,0.016,12.5
58a115c7abac00a0d2befa9207e058d8,273354920,273435700,2019-06-30T21:50:00Z,2019-07-01T11:30:00Z,58.61069498,163.4530845,0.057,0.019,13.66666667
7f46568796aaae3d6f9f79586a6e4303,273354920,273435700,2019-11-07T00:10:00Z,2019-11-07T11:00:00Z,64.34832907,-173.3746092,0.036,0.014,10.83333333
c3d0ac0accd4f982f302e7b15461d1a5,273354920,273435700,2019-06-16T13:00:00Z,2019-06-16T20:00:00Z,58.08784427,163.6426654,0.055,1.115,7
a069a4610adc8c573b613a2b507f8269,273354920,273435850,2019-04-11T08:10:00Z,2019-04-11T11:10:00Z,56.19521039,148.6280001,0.039,1.054,3
f0b8b3ce5c675c317308afe7531c0263,273354920,273435850,2019-04-03T06:40:00Z,2019-04-03T16:40:00Z,53.21496177,155.580589,0.033,1.118,10
f6d6301b9f808d59a8881abc78a3e563,273354920,273435850,2018-02-21T03:20:00Z,2018-02-21T14:20:00Z,52.57582164,155.899405,0.034,0.058,11
263eb4c3e26cf1e2095c94629ec18945,273354920,273436440,2019-06-19T02:50:00Z,2019-06-19T12:00:00Z,61.21053923,-178.75201,0.057,1.006,9.166666667
4eeb0af7794cf54d098f76a898a08958,273354920,273439230,2019-06-04T23:10:00Z,2019-06-07T01:40:00Z,54.14441045,155.7878713,0.019,0.016,50.5
e1b55061fc5a579f7e0f493c6073624a,273354920,273440040,2019-04-09T02:40:00Z,2019-04-10T23:20:00Z,55.83790989,147.4191844,0.045,0.419,44.66666667
44c430d803b5b52d3f94ef53a1cf5116,273354920,273440440,2018-12-21T11:40:00Z,2018-12-22T09:00:00Z,60.25910113,166.2062728,0.028,0.024,21.33333333
95e1824f7d145934d956346ec32b78d8,273354920,273440690,2019-04-12T19:50:00Z,2019-04-13T16:00:00Z,57.89587252,155.108271,0.032,0.98,20.16666667
85486f1ece5c86651deda041411c1548,273354920,273440840,2017-10-28T11:20:00Z,2017-10-31T02:30:00Z,62.33026284,177.7601146,0.05,0.021,63.16666667
38dde82e044f5bd4a94a05f9713c59ad,273354920,273440840,2018-02-25T20:10:00Z,2018-02-26T20:00:00Z,56.90714157,155.7346707,0.054,1.732,23.83333333
3a7514710da0b77b7d4fdf51f9292947,273354920,273442400,2017-11-07T23:00:00Z,2017-11-09T11:10:00Z,62.91071353,179.386227,0.061,0.019,36.16666667
3538a31f05cb7dd17940dffe9c6a7517,273354920,273445310,2019-06-27T14:00:00Z,2019-06-28T03:00:00Z,62.49538209,178.0169196,0.031,0.008,13
37516e836adb2786adcef50133c82ea2,273354920,273447930,2018-01-15T09:20:00Z,2018-01-16T20:30:00Z,55.04859493,155.5010212,0.069,0.055,35.16666667
800ad1d87045d7fe178b46a72904c475,273354920,273447930,2019-02-22T00:00:00Z,2019-02-23T10:20:00Z,54.11616753,155.5260866,0.024,0.057,34.33333333
a065305cdf86f671add75bacdb5d9431,273354920,273447930,2019-06-10T22:20:00Z,2019-06-12T07:30:00Z,54.1367665,155.717573,0.044,0.019,33.16666667
5cb4cf7a6a4726be9c0c245a9e09a413,273354920,273516600,2017-10-27T18:00:00Z,2017-10-27T22:40:00Z,62.26708392,177.0518683,0.06,0.028,4.666666667
